Job Title,Company Name,Location,Experience (Years),Min Experience,Max Experience
IT MANAGER,HR Jobs Placements,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",7 - 12 Years,7,12
MERN stack Developer,National Institute For Career Education,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Kolkata",0 - 3 Years,0,3
Full Stack Internship in Pune,Maxgen Technologies,"Pune, Jalgaon, Kolhapur, Nasik, Solapur",0 - 1 Years,0,1
"Software  Test  Engineer , Testing Engineer",SHREE ADISHAKTHI CONSULTANCY,"Bengaluru / Bangalore, Chennai, Mumbai, Pune",4 - 8 Years,4,8
"Mis Executive , Sales Coordinator",New Global Technologies,"Ahmedabad, Delhi/NCR, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3
Azure Devops Engineer,Laxmi Infotech,"Ahmedabad, Delhi, Gurgaon, Kolkata, Mumbai",3 - 8 Years,3,8
Senior Angular Developer,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Mumbai, Pune",5 - 10 Years,5,10
Senior .net Developer,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Mumbai, Pune",5 - 10 Years,5,10
Senior Infrastructure Engineer,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Mumbai, Pune",2 - 7 Years,2,7
Flash Animator  /  Multimedia graphics designer,Laxmi Infotech,"Ahmedabad, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3
Senior Full Stack Developer,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Mumbai, Pune",5 - 10 Years,5,10
Manual Test Engineer,Electrobrain modern technologies pvt ltd,"Delhi, Delhi/NCR, Gurgaon, Mumbai, Noida/Greater Noida",3 - 6 Years,3,6
BPO AP Lead,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Mumbai, Pune",10 - 15 Years,10,15
"Mis Executive , Sales Coordinator",New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
"Quality Analyst Technical Support Process ,  QA TSE",White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,1 - 6 Years,1,6
Business Analyst,LTIMindtree Ltd.,"Bengaluru / Bangalore, Chennai, Mumbai, Pune",1 - 2 Years,1,2
"FrontEnd Developer , FrontEnd Engineer , FrontEnd Web Developer",PREDATORS CONSULTING,"Mumbai, Navi Mumbai",1 - 3 Years,1,3
"Data Analyst , Database Administrator",Aerro outsourcing pvt ltd,"Abu Dhabi, Dubai, Australia, Canada, Hong Kong",1 - 6 Years,1,6
Mechanical Engineer,Laxmi Infotech,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
R2R Team Leader Or Manager,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,4 - 8 Years,4,8
Technical Performance Specialist - Cloud Computing,New Global Technologies,"Bengaluru / Bangalore, Delhi, Hyderabad/Secunderabad, Mumbai, Pune",1 - 6 Years,1,6
Jr. Software Tester,Reliqus,Delhi,0 - 1 Years,0,1
IT infrastruture manager immediate Joining  8553281886,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,5 - 7 Years,5,7
BPO Customer Care Voice Process call  Ayesha@ 9972020050,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,2 - 6 Years,2,6
"B.E  , B.tech  , Diploma- engineers",New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Kolkata, Mumbai",0 - 3 Years,0,3
Dev Manager,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Mumbai, Pune",10 - 15 Years,10,15
"SAP Consultant , Sap Basis Consultant",HR Jobs Placements,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",5 - 10 Years,5,10
"Java Developer , Software Engineer , Developer",Peopleplease Consulting,Mumbai,0 - 3 Years,0,3
Senior Software Engineer,New Global Technologies,"Visakhapatnam, Patna, Gandhinagar, Ranchi, Cochin/ Kochi/ Ernakulam",1 - 6 Years,1,6
Network Administrator I,Laxmi Infotech,"Ahmedabad, Gurgaon, Kolkata, Noida/Greater Noida, Pune",0 - 3 Years,0,3
Telco lead For Incident and Fault Management immediate Joining,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,9 - 14 Years,9,14
Network Engineer,Laxmi Infotech,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad",1 - 6 Years,1,6
ETL Developer,New Global Technologies,"Ahmedabad, Gurgaon, Kolkata, Noida/Greater Noida, Cochin/ Kochi/ Ernakulam",0 - 3 Years,0,3
Manual Test Engineer Required in Canada Under PNP program,World Overseas immigration Consultancy Pvt Ltd,"Australia, Canada",2 - 7 Years,2,7
General Manager,HR Jobs Placements,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",8 - 13 Years,8,13
"datawarehousing  , database developer",New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Noida/Greater Noida",0 - 3 Years,0,3
"Technical Engineer ,  Computer Hardware Engineer ,  Support Engineer",Laxmi Infotech,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",1 - 6 Years,1,6
Android Developer,New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",1 - 6 Years,1,6
"Network Engineer , System Administrator , Hardware Engineer",Laxmi Infotech,"Delhi/NCR, Mumbai, Pune",1 - 6 Years,1,6
"Network Administrator , Network Engineer , System Engineer",AppSoft Solutions,"Bengaluru / Bangalore, Chennai, Delhi, Mumbai, Pune",0 - 3 Years,0,3
Financial Analyst,HR Jobs Placements,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",2 - 7 Years,2,7
Azure Devops Engineer,New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",1 - 6 Years,1,6
Hardware Networking Engineer,New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
Technical Support Engineer,Laxmi Infotech,"Ahmedabad, Delhi, Gurgaon, Noida/Greater Noida, Pune",0 - 3 Years,0,3
Business Analyst,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Mumbai, Pune",4 - 9 Years,4,9
Senior Business Analyst / Data Engineer - Python  &  Cloud Computing,New Global Technologies,"Bengaluru / Bangalore, Delhi/NCR, Hyderabad/Secunderabad, Mumbai, Pune",1 - 6 Years,1,6
"DBA , Database Administrative , Oracle Dba",AppSoft Solutions,"Bengaluru / Bangalore, Chennai, Delhi, Mumbai, Pune",0 - 3 Years,0,3
"Associate Engineer , diploma  , be , btech",Laxmi Infotech,"Ahmedabad, Delhi, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3
"""Android  /  iOS Developer""",Laxmi Infotech,"Ahmedabad, Delhi, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3
"Network Engineer , System Administrator , Hardware Engineer",Laxmi Infotech,"Ahmedabad, Gurgaon, Kolkata, Noida/Greater Noida, Pune",0 - 3 Years,0,3
Oracle Database Administrator,Laxmi Infotech,"Bengaluru / Bangalore, Hyderabad/Secunderabad, Pune",0 - 3 Years,0,3
"L1 , l2 Support Engineer",New Global Technologies,"Ahmedabad, Gurgaon, Kolkata, Noida/Greater Noida, Pune",0 - 3 Years,0,3
"Software Engineer , Software Developer",ASSOCIATIVE,Pune,0 - 1 Years,0,1
Opening of Accountant  ( Mid Level )  for a Manufacturing Company,Universal Consultant and Management Services,Kolkata,2 - 7 Years,2,7
Service Delivery- Manager,HR Jobs Placements,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Pune",8 - 13 Years,8,13
Automation Test Manager,HR Jobs Placements,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Kolkata, Mumbai",8 - 13 Years,8,13
Mobile Application Developer,New Global Technologies,"Ahmedabad, Bengaluru / Bangalore, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3
"JAVA Applications Developer , JAVA Developer",Suresh Gopalan Acharya,Mumbai,0 - 2 Years,0,2
Computer Operator / Data Entry Operator,Aryan technologies,"Akola, Latur, Lonavala, Thane, Vasai",0 - 3 Years,0,3
Computer Operator / Data Entry Operator,Aryan technologies,"Bongaigaon, Dhubri, Dibrugarh, Guwahati, Jorhat",0 - 3 Years,0,3
"Cloud Engineer , ""AWS Cloud Engineer""",AppSoft Solutions,"Bengaluru / Bangalore, Chennai, Delhi, Mumbai, Pune",0 - 3 Years,0,3
IT Manager,HR Jobs Placements,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",14 - 18 Years,14,18
Computer Operator / Data Entry Operator,Aryan technologies,"Panjim/Panaji, Vasco Da Gama, Gandhinagar, Surat, Vadodara",0 - 3 Years,0,3
"L1 , l2 Support Engineer",New Global Technologies,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",0 - 3 Years,0,3
Computer Operator / Data Entry Operator,Aryan technologies,"Jalgaon, Kolhapur, Nasik, Satara",0 - 3 Years,0,3
IT / Non-IT recruiter,RANGAM INFOTECH PVT. LTD.,Vadodara,0 - 3 Years,0,3
Embedded Software Engineer,New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
IT Coordinator  /  IT Technician,Hilton Hotels & Resorts,Doha,1 - 5 Years,1,5
Configuration / Release Manager,HR Jobs Placements,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",7 - 12 Years,7,12
Operations Manager,HR Jobs Placements,"Bengaluru / Bangalore, Chennai, Delhi, Delhi/NCR, Gurgaon",9 - 14 Years,9,14
Computer Operator / Data Entry Operator,Aryan technologies,"Amritsar, Batala, Bathinda, Chandigarh, Faridkot",0 - 3 Years,0,3
General Manager,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Delhi/NCR, Hyderabad/Secunderabad, Pune",8 - 13 Years,8,13
Web Designer  /  Visualiser  /  Graphic Designer,New Global Technologies,"Bengaluru / Bangalore, Delhi/NCR, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
Data Entry Jobs,Aryan technologies,"Bidar, Gulbarga, Hubli, Mangalore, Mysoru / Mysore",0 - 3 Years,0,3
Big Data Analyst,HR Jobs Placements,"Bengaluru / Bangalore, Delhi/NCR, Hyderabad/Secunderabad, Kolkata, Mumbai",11 - 16 Years,11,16
Program  &  Project Manager,HR Jobs Placements,"Delhi/NCR, Hyderabad/Secunderabad, Kolkata, Mumbai, Pune",5 - 10 Years,5,10
Web Designer  /  Visualiser  /  Graphic Designer,New Global Technologies,"Ahmedabad, Chennai, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3
PHP Developer,New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
Design Engineer I,Laxmi Infotech,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
Network Engineer / system admin,New Global Technologies,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",0 - 3 Years,0,3
Senior Business Analyst / Data Engineer - Python  &  Cloud Computing,New Global Technologies,"Ahmedabad, Chennai, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3
c ++ / Php / Ajax Developer,Laxmi Infotech,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
Computer Operator / Data Entry Operator,Aryan technologies,"Indore, Jabalpur, Katni, Ratlam, Ujjain",0 - 3 Years,0,3
Network Engineer,HR Jobs Placements,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad, Mumbai",2 - 7 Years,2,7
Project Manager,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi/NCR, Pune",8 - 13 Years,8,13
Senior Data Scientist - Machine Learning,HR Jobs Placements,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",5 - 10 Years,5,10
Web Applications Developer,Laxmi Infotech,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
Data Analyst,AppSoft Solutions,"Bengaluru / Bangalore, Chennai, Delhi, Mumbai, Pune",0 - 3 Years,0,3
QA Engineer  / software testing,New Global Technologies,"Ahmedabad, Delhi/NCR, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3
Software Developer,New Global Technologies,"Chandigarh, Patna, Cochin/ Kochi/ Ernakulam, Jaipur, Coimbatore",0 - 3 Years,0,3
IT Recruiter,Tekshapers Software Solutions  ( P )  Limited,Noida/Greater Noida,0 - 3 Years,0,3
IT Recruiter,INFINITY GROUP,"Delhi, Delhi/NCR",2 - 3 Years,2,3
IT / Non-IT Recruiter and Sr. IT / Non-IT Recruiter,ProAssert,"Chennai, Coimbatore, Trichy, Bengaluru / Bangalore",0 - 3 Years,0,3
IT Recruiter,SEVEN CONSULTANCY,Hyderabad/Secunderabad,0 - 3 Years,0,3
IT Manager,Hilton Hotels & Resorts,Philippines,5 - 8 Years,5,8
Executive- IT,Malabar Gold and Diamonds,Calicut/ Kozhikode,3 - 4 Years,3,4
IT Support,eye mantra,"Delhi, Delhi/NCR",0 - 3 Years,0,3
IT Administrator,SyMetric,Bengaluru / Bangalore,2 - 3 Years,2,3
Casino - IT,Marriott International Inc,Cairo,1 - 4 Years,1,4
IT Manager,Power plus cables Co,Fujairah,7 - 10 Years,7,10
IT Analyst,Textron India Pvt Ltd,Bengaluru / Bangalore,3 - 5 Years,3,5
IT Recruiter,Amicus Technology,"Pune, Raipur",2 - 5 Years,2,5
IT EXECUTIVE,Divya Placement Consultant,Faridabad,1 - 2 Years,1,2
IT EXECUTIVE,infoicon technologies pvt ltd.,Gurgaon,0 - 1 Years,0,1
IT Specialist,HUSYS CONSULTING LTD,Bengaluru / Bangalore,5 - 8 Years,5,8
IT Onsite,DXC Technologies,China,2 - 5 Years,2,5
IT support,SEVEN CONSULTANCY,"Delhi, Delhi/NCR",0 - 1 Years,0,1
IT Executive,SEVEN CONSULTANCY,"Navi Mumbai, Mumbai, Thane",1 - 3 Years,1,3
IT Manager,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,0,3
IT Support,SEVEN CONSULTANCY,"Delhi, Delhi/NCR",1 - 4 Years,1,4
IT manager,SEVEN CONSULTANCY,Dehradun,0 - 3 Years,0,3
IT manager,SEVEN CONSULTANCY,Siliguri,0 - 3 Years,0,3
IT Support,SEVEN CONSULTANCY,"Bilaspur, Bilaspur",1 - 2 Years,1,2
IT Executive,SEVEN CONSULTANCY,"Delhi, Delhi/NCR",2 - 5 Years,2,5
IT Administrator,CONNECTING 2 WORK,Bengaluru / Bangalore,2 - 5 Years,2,5
IT Automation,Stockholdings,"Navi Mumbai, Mumbai",10 - 13 Years,10,13
IT Helpdesk,INSIGHT BUSINESS MACHINES PVT LTD,Mumbai,1 - 3 Years,1,3
IT Admin,Dxcorr Design,Bengaluru / Bangalore,3 - 6 Years,3,6
IT Head,2Soft Solutions Pvt. Ltd.,Mumbai,8 - 11 Years,8,11
Executive IT,Elite Wealth Advisors Limited,Delhi,0 - 3 Years,0,3
IT Networking,Z Square Mall,Kanpur,1 - 4 Years,1,4
IT Head,TransGraph Consulting Pvt.Ltd.,Hyderabad/Secunderabad,12 - 15 Years,12,15
IT Executive,megri soft limited,Chandigarh,1 - 4 Years,1,4
IT Assistant,city montessori school lucknow,Lucknow,0 - 3 Years,0,3
IT Executive,ace softex pvt. ltd.,Rajkot,2 - 4 Years,2,4
IT PROFESSIONAL,CONNECTING 2 WORK,Thiruvananthapuram,2 - 5 Years,2,5
IT Professional,CONNECTING 2 WORK,Unknown,0 - 3 Years,0,3
IT Specialist,lear corporation  ( onward technology pay role ),Unknown,1 - 5 Years,1,5
Managementkonsult IT,CGI Information Systems and Management Consultants Pvt Ltd,Sweden,5 - 7 Years,5,7
Director IT,highrise solutions llp,Pune,1 - 2 Years,1,2
IT Engineer,BHTC India Pvt Ltd,Pune,0 - 3 Years,0,3
IT Executive,you broadband & cable india pvt. ltd.,Surat,1 - 4 Years,1,4
IT Recruiter,NCPL,Noida/Greater Noida,0 - 2 Years,0,2
IT Recruiter,amicus technologies pvt ltd,"Pune, Raipur",2 - 5 Years,2,5
IT Faculty,TandA HR Solutions,"Chamba, Una",2 - 3 Years,2,3
IT Teacher,TandA HR Solutions,"Mumbai, Chamba, Mohali, Una",2 - 3 Years,2,3
IT Teacher,TandA HR Solutions,"Chamba, Mohali, Una",2 - 3 Years,2,3
IT Administrator,SEVEN CONSULTANCY,"Navi Mumbai, Mumbai",2 - 4 Years,2,4
IT Admin,SEVEN CONSULTANCY,Ahmedabad,2 - 3 Years,2,3
IT Admin,SEVEN CONSULTANCY,"Navi Mumbai, Mumbai",0 - 3 Years,0,3
IT executive,SEVEN CONSULTANCY,Mumbai,1 - 2 Years,1,2
Lead - IT,Bajaj Finserv Lending Ltd,Pune,6 - 8 Years,6,8
: IT Director,highrise solutions llp,Pune,1 - 4 Years,1,4
IT Engineer,Larsen & Toubro Infotech Ltd,Vadodara,5 - 7 Years,5,7
IT Student,danfoss india innovation center,Mexico,0 - 1 Years,0,1
IT Coordinator,Hilton Hotels & Resorts,Italy,1 - 3 Years,1,3
IT Supervisor,Hilton Hotels & Resorts,Unknown,5 - 7 Years,5,7
Lead - IT,Bajaj Finserv Lending Ltd,Pune,5 - 7 Years,5,7
Lead - IT,Bajaj Finserv Lending Ltd,Pune,6 - 9 Years,6,9
IT Specialist,IBM India Pvt Ltd,Bengaluru / Bangalore,2 - 5 Years,2,5
Head of IT,Incuspaze,Gurgaon,3 - 6 Years,3,6
Mainframe Analyst,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad",9 - 14 Years,9,14
IT Recruiter /  NON IT Recruiter,2Soft Solutions Pvt. Ltd.,"Mumbai, Pune",0 - 6 Years,0,6
IT Executive  /  Sr. IT Executive,ACTIVE INDIA EMPLOYMENT SERVICES PRIVATE LIMITED,Gandhidham,3 - 6 Years,3,6
"IT Logistics Manager ,  IT Services",AMAZON INDIA PVT LTD,"Chennai, Mumbai, Bengaluru / Bangalore, Pune, Hyderabad/Secunderabad",5 - 7 Years,5,7
Lead - IT / Senior Lead - IT,Bajaj Finserv Lending Ltd,Pune,5 - 8 Years,5,8
Lead - IT / Senior Lead - IT,Bajaj Finserv Lending Ltd,Pune,5 - 10 Years,5,10
Test Manager,HR Jobs Placements,"Bengaluru / Bangalore, Chennai, Delhi/NCR, Kolkata, Mumbai",8 - 13 Years,8,13
Senior Data Scientist - Machine Learning,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",5 - 10 Years,5,10
Configuration / Release Manager,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",11 - 16 Years,11,16
Telecom Software Engineer,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi/NCR, Hyderabad/Secunderabad",2 - 7 Years,2,7
Software Developer,Laxmi Infotech,"Mumbai, Pune",1 - 6 Years,1,6
"Web Designing , Web Designer , Graphics Designer",AppSoft Solutions,"Bengaluru / Bangalore, Chennai, Delhi, Mumbai, Pune",0 - 3 Years,0,3
IT Head,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",12 - 17 Years,12,17
Java Project Manager,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",10 - 15 Years,10,15
Telecom Software Engineer,HR Jobs Placements,"Kolkata, Mumbai, Pune, Mysoru / Mysore, Coimbatore",2 - 7 Years,2,7
"Be B Tech Fresher , Associate Engineer",Laxmi Infotech,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",0 - 3 Years,0,3
Fullstack Developer,New Global Technologies,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Mumbai, Pune",1 - 6 Years,1,6
Java Project Manager,HR Jobs Placements,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",10 - 15 Years,10,15
FINANCE MANAGER FOR AUSTRALIA  &  CANADA,LIMA FLY PRIVATE LIMITED,"Australia, Canada",9 - 13 Years,9,13
"Senior Application Programmer , application programming",HR Jobs Placements,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",5 - 10 Years,5,10
Asset Management Executive,Team Computers Pvt Ltd,"Mumbai, Delhi, Chennai, Delhi/NCR",2 - 5 Years,2,5
IT Head,HR Jobs Placements,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",12 - 17 Years,12,17
"""Java Full stack developer""",HR Jobs Placements,"Bengaluru / Bangalore, Delhi/NCR, Hyderabad/Secunderabad, Kolkata, Mumbai",3 - 8 Years,3,8
"IT Recruiter /  NON IT Recruiter ,  Mumbai",2Soft Solutions Pvt. Ltd.,"Mumbai, Pune",0 - 6 Years,0,6
"ITS Support Associate II ,  IT Services",AMAZON INDIA PVT LTD,Panchkula,1 - 3 Years,1,3
"IT Support Engineer I ,  IT Services",AMAZON INDIA PVT LTD,Panchkula,2 - 4 Years,2,4
"Enterprise Account Mgr ,  IT  /  ITeS ,  ITS India",AMAZON INDIA PVT LTD,Mumbai,5 - 10 Years,5,10
US IT Recruiter  ( US IT Staffing ),Advaya Infotech Pvt Ltd,Noida/Greater Noida,1 - 3 Years,1,3
"IT Manager II ,  OPSTech IT -Service Desk",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,5 - 7 Years,5,7
"Sr. IT Vendor Manager  ,  IT Services",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,5 - 7 Years,5,7
IT Consultant  /  IT Administrator  ( m / f / d ),Nagarro India Pvt Ltd,"Germany, Switzerland, France",3 - 7 Years,3,7
Hiring for IT Support for an IT Company for Mohali Location.,TandA HR Solutions,Mohali,1 - 3 Years,1,3
"ITS Logistics Coordinator  ( WH )  ,  IT Services India",AMAZON INDIA PVT LTD,Hyderabad/Secunderabad,3 - 5 Years,3,5
"IT Support Associate II ,  IT Services Variable",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,2 - 3 Years,2,3
QA Testing Engineer,Laxmi Infotech,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad",0 - 3 Years,0,3
IT Security Executive,torcai digital media private limited,Dehradun,0 - 3 Years,0,3
"Manager  /  Senior Manager- IT , Manager It",HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",8 - 13 Years,8,13
Inside Sales,eDominer Systems,"Kolkata, Bengaluru / Bangalore",0 - 3 Years,0,3
IT Software Sales,SEVEN CONSULTANCY,Noida/Greater Noida,2 - 5 Years,2,5
Project Manager SAP,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",10 - 15 Years,10,15
US IT Recruiter,pegasus knowledge solutions india pvt ltd.,Bengaluru / Bangalore,4 - 10 Years,4,10
IT Help Desk Resources,FINITE HR CONSUTING PVT LTD,Hyderabad/Secunderabad,1 - 2 Years,1,2
IT Sales Manager,OM SOFTWARES,Bengaluru / Bangalore,5 - 8 Years,5,8
IT Recruiter For Recruitment Agency,AugmatrixGo,Mumbai,4 - 8 Years,4,8
Jobs for IT Recruiter,SEVEN CONSULTANCY,"Navi Mumbai, Mumbai, Thane",3 - 4 Years,3,4
Jobs for IT recruiter,SEVEN CONSULTANCY,"Navi Mumbai, Mumbai",0 - 3 Years,0,3
US IT Recruiter,Flair soft group,Bhopal,0 - 3 Years,0,3
IT Security Analyst,itronix solutions,Jalandhar,0 - 3 Years,0,3
US IT Recruiter,TandA HR Solutions,Hyderabad/Secunderabad,2 - 5 Years,2,5
Assistant  /  Executive  IT,TandA HR Solutions,Mohali,3 - 6 Years,3,6
Specjalista ds. IT,lear corporation  ( onward technology pay role ),Unknown,2 - 5 Years,2,5
IT Security Operations Engineer,Vtiger,Bengaluru / Bangalore,0 - 3 Years,0,3
IT Support Engineer,Quality HR Services,Mumbai,0 - 1 Years,0,1
It Security Specialist,CGI Information Systems and Management Consultants Pvt Ltd,Unknown,3 - 5 Years,3,5
Sr. IT Security Engineer,gigamon,Chennai,1 - 4 Years,1,4
Associate manager - IT,UrbanClap,"Singapore, Dubai, Gurgaon",8 - 10 Years,8,10
IT Security Specialist,CGI Information Systems and Management Consultants Pvt Ltd,Unknown,3 - 5 Years,3,5
Sr. Executive - IT Security,Quality HR Services,Surat,3 - 5 Years,3,5
"US IT Recruiter ,  Bangalore",2Soft Solutions Pvt. Ltd.,Bengaluru / Bangalore,2 - 4 Years,2,4
Recruitment Delivery Manager  ( IT ),highrise solutions llp,Pune,5 - 7 Years,5,7
Senior IT Infrastructure Specialist,netradyne,Bengaluru / Bangalore,5 - 8 Years,5,8
US IT Recruiter,OM SOFTWARES,Pune,3 - 6 Years,3,6
IT Security analyst,SEVEN CONSULTANCY,Ahmedabad,8 - 11 Years,8,11
IT Audit Consultant,ITCAN Pte Ltd,Singapore,2 - 5 Years,2,5
Manager-IT Appilcation Development,Malabar Gold and Diamonds,Calicut/ Kozhikode,7 - 10 Years,7,10
IT Software Support Engineer,Docsvault,Vadodara,2 - 5 Years,2,5
Territory Manager  (  IT Sales ),Compuage Infocom Ltd,"Kolhapur, Ahmedabad, Indore, Bengaluru / Bangalore, Jodhpur",2 - 3 Years,2,3
IT PROJECT MANAGER,Trust Tech Solutions,Cochin/ Kochi/ Ernakulam,4 - 5 Years,4,5
US IT Recruiter,Tekshapers Software Solutions  ( P )  Limited,Unknown,1 - 3 Years,1,3
Apple IT Evangelist,ProMobi Technologies,Pune,2 - 6 Years,2,6
Cluster IT Manager,Marriott International Inc,Mumbai,3 - 5 Years,3,5
Assistant Manager - IT,Marriott International Inc,Jaipur,2 - 4 Years,2,4
IT Service Management Representative,accenture,Gurgaon,8 - 9 Years,8,9
IT /  Linux Admin,PROPELLUM INFOTECH PRIVATE LIMITED,Mumbai,3 - 5 Years,3,5
Sales and Marketing Manager for IT,Whiz Solutions  ( UK ),Ahmedabad,4 - 5 Years,4,5
Senior IT Analyst,Textron India Pvt Ltd,Bengaluru / Bangalore,5 - 7 Years,5,7
IT Service Delivery Specialist,Team Computers Pvt Ltd,"Mumbai, Delhi, Delhi/NCR",3 - 5 Years,3,5
IT Infrastructure Project Manager,Team Computers Pvt Ltd,Mumbai,6 - 12 Years,6,12
IT Support Specialist II,bentley systems pvt ltd,Unknown,4 - 7 Years,4,7
IT Sales Manager,LAKSH HUMAN RESOURCE,"Delhi, Delhi/NCR",3 - 5 Years,3,5
Manager  Sales IT,LAKSH HUMAN RESOURCE,Mumbai,10 - 12 Years,10,12
IT Business Analyst,KnowledgeHut,Bengaluru / Bangalore,0 - 3 Years,0,3
Project Manager  ( IT ),Inexoft Technologies Pvt. Ltd.,Kannur,5 - 8 Years,5,8
Executive IT  ( Oracle Developer ),Gati Ltd,Hyderabad/Secunderabad,2 - 5 Years,2,5
IT Business Consultant,Exioms,Pune,0 - 3 Years,0,3
IT Product Sales,Eternus Solutions,Pune,0 - 3 Years,0,3
IT International Sales,Eternus Solutions,Pune,0 - 3 Years,0,3
