Job Title,Company Name,Location,Experience (Years)
Web Development Internship in Ahmedabad,Maxgen Technologies,Ahmedabad,0 - 1 Years
Java Internship in Pune,Maxgen Technologies,"Pune,  Amravati,  Dhule,  Sangli,  Satara",0 - 1 Years
Full Stack Internship in Pune,Maxgen Technologies,Pune,0 - 1 Years
Assistant General Manager  ( Logistics  &  Supply chain ),Suman kumar,"Delhi/NCR,  Kolkata,  Pune,  Indore,  Bhubaneshwar",15 - 20 Years
Desktop Engineers Required in Canada under PR visa,World Overseas immigration Consultancy Pvt Ltd,"Australia,  Canada",2 - 7 Years
JD Edwrads Manufacturing Consultant,LTIMindtree Ltd.,"Delhi/NCR,  Kolkata",4 - 9 Years
Accounts  &  Finance Manager,Ample Leap Cognition,Gurgaon,10 - 15 Years
Group HR Head  ( Core HR ),Ample Leap Cognition,Pune,20 - 25 Years
System Analyst Required in Austria  ( Europe ) Under work visa,World Overseas immigration Consultancy Pvt Ltd,"Australia,  Canada,  Germany,  null",3 - 8 Years
Opportunities for Network Administrator in Canada,World Overseas immigration Consultancy Pvt Ltd,"Australia,  Canada",2 - 7 Years
Aircraft Mechanical maintenance engineer,sachin kumar,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Kolkata",0 - 3 Years
React js Internship in Pune,Maxgen Technologies,"Pune,  Jalgaon,  Kolhapur,  Nasik,  Solapur",0 - 1 Years
Web Engineer  ( Frontend ),Electrobrain modern technologies pvt ltd,"Delhi,  Delhi/NCR,  Gurgaon,  Mumbai,  Faridabad",3 - 8 Years
Want Python  interns,Sparks To Ideas,Ahmedabad,0 - 1 Years
Java Developer Internship in Pune,Maxgen Technologies,"Pune,  Jalgaon,  Kolhapur,  Nasik,  Solapur",0 - 1 Years
Data Analyst Internship in Pune,Maxgen Technologies,Pune,0 - 1 Years
Python Developer,SKYWALK VISA IMMIGRATION SERVICES LLP,"Bengaluru / Bangalore,  Australia,  Canada,  Germany,  New Zealand",3 - 8 Years
Test Automation Engineer,Electrobrain modern technologies pvt ltd,"Delhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Pune",3 - 8 Years
JD Edwrads CNC,LTIMindtree Ltd.,"Delhi/NCR,  Kolkata",4 - 9 Years
INTERNSHIP FOR FRESHERS IN PHP,Sparks To Ideas,Ahmedabad,0 - 1 Years
Java Internship in Pune,Maxgen Technologies,"Pune,  Amravati,  Dhule,  Sangli,  Satara",0 - 1 Years
Project Manager PMP CPAM,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Chennai,  Pune",12 - 17 Years
PROFESSOR /  ASSOCIATE / ASTT. PROFESSOR - COMPUTER SCIENCE,SNJ Skye Management Consultant,Kanpur,1 - 6 Years
OIC Developer,LTIMindtree Ltd.,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Kolkata,  Mumbai",3 - 8 Years
Service Delivery Manager - J48414,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,18 - 23 Years
Python Live Project Internship,Sparks To Ideas,Ahmedabad,0 - 1 Years
Team lead  /  International Customer Service - Voice,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad",0 - 3 Years
"""Frontend Engineer""",KANDPAL CONSULTANT,"Bengaluru / Bangalore,  Delhi,  Hyderabad/Secunderabad,  Pune,  Chandigarh",3 - 4 Years
"Test Automation Engineer  , Software Test Automation Engineer",SHREE ADISHAKTHI CONSULTANCY,"Bengaluru / Bangalore,  Chennai,  Mumbai,  Pune",4 - 8 Years
Software Developer,Medicca Limited,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Navi Mumbai",2 - 7 Years
"content writer , Technical Writer , seo",Laxmi Infotech,"Gurgaon,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",0 - 3 Years
PHP / Wordpress Developer,Reliqus,Delhi,0 - 1 Years
Senior Software Testers,Navyah Immigration Services Private Limited,"Dubai,  Australia,  Canada,  Japan,  null",2 - 5 Years
Python Internship for freshers,Sparks To Ideas,Ahmedabad,0 - 1 Years
"""Hardware  &  Networking Engineer""",Suresh Gopalan Acharya,Mumbai,1 - 4 Years
Website Designer Intern,Reliqus,Delhi,0 - 1 Years
General Ledger Accountant,Addenda Chemical India Private Limited,Gurgaon,3 - 8 Years
"content writer , Technical Writer , seo",Laxmi Infotech,"Bengaluru / Bangalore,  Chennai,  Delhi,  Hyderabad/Secunderabad",0 - 3 Years
"Manual Testing with Enterprise Networking Experience ,  Bangalore",White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,5 - 10 Years
Project Manager  /  Delivery Manager,HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Kolkata,  Mumbai",8 - 13 Years
Python Internship for freshers,Sparks To Ideas,Ahmedabad,0 - 1 Years
Java Internship in Pune,Maxgen Technologies,"Pune,  Amravati,  Dhule,  Sangli,  Satara",0 - 1 Years
Database Administrator Required in Canada under PR visa,World Overseas immigration Consultancy Pvt Ltd,"Australia,  Canada",2 - 7 Years
QA Analyst II,Electrobrain modern technologies pvt ltd,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Mumbai",3 - 8 Years
SAP Consultant,Aerro outsourcing pvt ltd,"Abu Dhabi,  Dubai,  Australia,  Canada,  Hong Kong",1 - 6 Years
"Software Analyst , Programmer Analyst  ( Java )  , Ui Designer",RADKO INFOTECH,Chennai,0 - 1 Years
JD Edwrads S & D Consultant,LTIMindtree Ltd.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",4 - 9 Years
"Software Developer , Developer",Upholic Tech Private Limited,"Mumbai,  Thane",1 - 3 Years
JD Edwrads Finance Consultant,LTIMindtree Ltd.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",4 - 9 Years
Python Internship in Pune,Maxgen Technologies,Pune,0 - 1 Years
Junior Legal Associate,Cyberpolicies,"Delhi,  Delhi/NCR",2 - 4 Years
Workday Functional Consultant,LTIMindtree Ltd.,"Bengaluru / Bangalore,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",3 - 8 Years
Senior OCI admin,LTIMindtree Ltd.,"Bengaluru / Bangalore,  Chennai,  Kolkata,  Mumbai,  Pune",5 - 10 Years
Qa Engineer,Electrobrain modern technologies pvt ltd,"Delhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Pune",3 - 8 Years
PROFESSOR /  ASSOCIATE / ASSISTANT PROFESSOR -  BCA,SNJ Skye Management Consultant,Kanpur,0 - 3 Years
JD Edwards Technical Consultant,LTIMindtree Ltd.,"Bengaluru / Bangalore,  Delhi,  Hyderabad/Secunderabad,  Mumbai,  Pune",4 - 9 Years
IT MANAGER,HR Jobs Placements,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",7 - 12 Years
MERN stack Developer,National Institute For Career Education,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Kolkata",0 - 3 Years
Full Stack Internship in Pune,Maxgen Technologies,"Pune,  Jalgaon,  Kolhapur,  Nasik,  Solapur",0 - 1 Years
"Software  Test  Engineer , Testing Engineer",SHREE ADISHAKTHI CONSULTANCY,"Bengaluru / Bangalore,  Chennai,  Mumbai,  Pune",4 - 8 Years
"Mis Executive , Sales Coordinator",New Global Technologies,"Ahmedabad,  Delhi/NCR,  Gurgaon,  Kolkata,  Noida/Greater Noida",0 - 3 Years
Azure Devops Engineer,Laxmi Infotech,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Mumbai",3 - 8 Years
Senior Angular Developer,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Mumbai,  Pune",5 - 10 Years
Senior .net Developer,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Mumbai,  Pune",5 - 10 Years
Senior Infrastructure Engineer,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Mumbai,  Pune",2 - 7 Years
Flash Animator  /  Multimedia graphics designer,Laxmi Infotech,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida",0 - 3 Years
Senior Full Stack Developer,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Mumbai,  Pune",5 - 10 Years
Manual Test Engineer,Electrobrain modern technologies pvt ltd,"Delhi,  Delhi/NCR,  Gurgaon,  Mumbai,  Noida/Greater Noida",3 - 6 Years
BPO AP Lead,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Mumbai,  Pune",10 - 15 Years
"Mis Executive , Sales Coordinator",New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
"Quality Analyst Technical Support Process ,  QA TSE",White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,1 - 6 Years
Business Analyst,LTIMindtree Ltd.,"Bengaluru / Bangalore,  Chennai,  Mumbai,  Pune",1 - 2 Years
"FrontEnd Developer , FrontEnd Engineer , FrontEnd Web Developer",PREDATORS CONSULTING,"Mumbai,  Navi Mumbai",1 - 3 Years
"Data Analyst , Database Administrator",Aerro outsourcing pvt ltd,"Abu Dhabi,  Dubai,  Australia,  Canada,  Hong Kong",1 - 6 Years
Mechanical Engineer,Laxmi Infotech,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
R2R Team Leader Or Manager,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,4 - 8 Years
Technical Performance Specialist - Cloud Computing,New Global Technologies,"Bengaluru / Bangalore,  Delhi,  Hyderabad/Secunderabad,  Mumbai,  Pune",1 - 6 Years
Jr. Software Tester,Reliqus,Delhi,0 - 1 Years
IT infrastruture manager immediate Joining  8553281886,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,5 - 7 Years
BPO Customer Care Voice Process call  Ayesha@ 9972020050,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,2 - 6 Years
"B.E  , B.tech  , Diploma- engineers",New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Kolkata,  Mumbai",0 - 3 Years
Dev Manager,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Mumbai,  Pune",10 - 15 Years
"SAP Consultant , Sap Basis Consultant",HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai",5 - 10 Years
"Java Developer , Software Engineer , Developer",Peopleplease Consulting,Mumbai,0 - 3 Years
Senior Software Engineer,New Global Technologies,"Visakhapatnam,  Patna,  Gandhinagar,  Ranchi,  Cochin/ Kochi/ Ernakulam",1 - 6 Years
Network Administrator I,Laxmi Infotech,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida,  Pune",0 - 3 Years
Telco lead For Incident and Fault Management immediate Joining,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,9 - 14 Years
Network Engineer,Laxmi Infotech,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad",1 - 6 Years
ETL Developer,New Global Technologies,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida,  Cochin/ Kochi/ Ernakulam",0 - 3 Years
Manual Test Engineer Required in Canada Under PNP program,World Overseas immigration Consultancy Pvt Ltd,"Australia,  Canada",2 - 7 Years
General Manager,HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai",8 - 13 Years
"datawarehousing  , database developer",New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida",0 - 3 Years
"Technical Engineer ,  Computer Hardware Engineer ,  Support Engineer",Laxmi Infotech,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",1 - 6 Years
Android Developer,New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",1 - 6 Years
"Network Engineer , System Administrator , Hardware Engineer",Laxmi Infotech,"Delhi/NCR,  Mumbai,  Pune",1 - 6 Years
"Network Administrator , Network Engineer , System Engineer",AppSoft Solutions,"Bengaluru / Bangalore,  Chennai,  Delhi,  Mumbai,  Pune",0 - 3 Years
Financial Analyst,HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai",2 - 7 Years
Azure Devops Engineer,New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",1 - 6 Years
Hardware Networking Engineer,New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
Technical Support Engineer,Laxmi Infotech,"Ahmedabad,  Delhi,  Gurgaon,  Noida/Greater Noida,  Pune",0 - 3 Years
Business Analyst,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore,  Mumbai,  Pune",4 - 9 Years
Senior Business Analyst / Data Engineer - Python  &  Cloud Computing,New Global Technologies,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Pune",1 - 6 Years
"DBA , Database Administrative , Oracle Dba",AppSoft Solutions,"Bengaluru / Bangalore,  Chennai,  Delhi,  Mumbai,  Pune",0 - 3 Years
"Associate Engineer , diploma  , be , btech",Laxmi Infotech,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Noida/Greater Noida",0 - 3 Years
"""Android  /  iOS Developer""",Laxmi Infotech,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Noida/Greater Noida",0 - 3 Years
"Network Engineer , System Administrator , Hardware Engineer",Laxmi Infotech,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida,  Pune",0 - 3 Years
Oracle Database Administrator,Laxmi Infotech,"Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Pune",0 - 3 Years
"L1 , l2 Support Engineer",New Global Technologies,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida,  Pune",0 - 3 Years
"Software Engineer , Software Developer",ASSOCIATIVE,Pune,0 - 1 Years
Opening of Accountant  ( Mid Level )  for a Manufacturing Company,Universal Consultant and Management Services,Kolkata,2 - 7 Years
Service Delivery- Manager,HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune",8 - 13 Years
Automation Test Manager,HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Kolkata,  Mumbai",8 - 13 Years
Mobile Application Developer,New Global Technologies,"Ahmedabad,  Bengaluru / Bangalore,  Gurgaon,  Kolkata,  Noida/Greater Noida",0 - 3 Years
"JAVA Applications Developer , JAVA Developer",Suresh Gopalan Acharya,Mumbai,0 - 2 Years
Computer Operator / Data Entry Operator,Aryan technologies,"Akola,  Latur,  Lonavala,  Thane,  Vasai",0 - 3 Years
Computer Operator / Data Entry Operator,Aryan technologies,"Bongaigaon,  Dhubri,  Dibrugarh,  Guwahati,  Jorhat",0 - 3 Years
"Cloud Engineer , ""AWS Cloud Engineer""",AppSoft Solutions,"Bengaluru / Bangalore,  Chennai,  Delhi,  Mumbai,  Pune",0 - 3 Years
IT Manager,HR Jobs Placements,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",14 - 18 Years
Computer Operator / Data Entry Operator,Aryan technologies,"Panjim/Panaji,  Vasco Da Gama,  Gandhinagar,  Surat,  Vadodara",0 - 3 Years
"L1 , l2 Support Engineer",New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai",0 - 3 Years
Computer Operator / Data Entry Operator,Aryan technologies,"Jalgaon,  Kolhapur,  Nasik,  Satara",0 - 3 Years
IT / Non-IT recruiter,RANGAM INFOTECH PVT. LTD.,Vadodara,0 - 3 Years
Embedded Software Engineer,New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
IT Coordinator  /  IT Technician,Hilton Hotels & Resorts,Doha,1 - 5 Years
Configuration / Release Manager,HR Jobs Placements,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",7 - 12 Years
Operations Manager,HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR,  Gurgaon",9 - 14 Years
Computer Operator / Data Entry Operator,Aryan technologies,"Amritsar,  Batala,  Bathinda,  Chandigarh,  Faridkot",0 - 3 Years
General Manager,HR Jobs Placements,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune",8 - 13 Years
Web Designer  /  Visualiser  /  Graphic Designer,New Global Technologies,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
Data Entry Jobs,Aryan technologies,"Bidar,  Gulbarga,  Hubli,  Mangalore,  Mysoru / Mysore",0 - 3 Years
Big Data Analyst,HR Jobs Placements,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai",11 - 16 Years
Program  &  Project Manager,HR Jobs Placements,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune",5 - 10 Years
Web Designer  /  Visualiser  /  Graphic Designer,New Global Technologies,"Ahmedabad,  Chennai,  Gurgaon,  Kolkata,  Noida/Greater Noida",0 - 3 Years
PHP Developer,New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
Design Engineer I,Laxmi Infotech,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
Network Engineer / system admin,New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai",0 - 3 Years
Senior Business Analyst / Data Engineer - Python  &  Cloud Computing,New Global Technologies,"Ahmedabad,  Chennai,  Gurgaon,  Kolkata,  Noida/Greater Noida",0 - 3 Years
c ++ / Php / Ajax Developer,Laxmi Infotech,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
Computer Operator / Data Entry Operator,Aryan technologies,"Indore,  Jabalpur,  Katni,  Ratlam,  Ujjain",0 - 3 Years
Network Engineer,HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai",2 - 7 Years
Project Manager,HR Jobs Placements,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Pune",8 - 13 Years
Senior Data Scientist - Machine Learning,HR Jobs Placements,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",5 - 10 Years
Web Applications Developer,Laxmi Infotech,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
Data Analyst,AppSoft Solutions,"Bengaluru / Bangalore,  Chennai,  Delhi,  Mumbai,  Pune",0 - 3 Years
QA Engineer  / software testing,New Global Technologies,"Ahmedabad,  Delhi/NCR,  Gurgaon,  Kolkata,  Noida/Greater Noida",0 - 3 Years
Software Developer,New Global Technologies,"Chandigarh,  Patna,  Cochin/ Kochi/ Ernakulam,  Jaipur,  Coimbatore",0 - 3 Years
IT Recruiter,Tekshapers Software Solutions  ( P )  Limited,Noida/Greater Noida,0 - 3 Years
IT Recruiter,INFINITY GROUP,"Delhi,  Delhi/NCR",2 - 3 Years
IT / Non-IT Recruiter and Sr. IT / Non-IT Recruiter,ProAssert,"Chennai,  Coimbatore,  Trichy,  Bengaluru / Bangalore",0 - 3 Years
IT Recruiter,SEVEN CONSULTANCY,Hyderabad/Secunderabad,0 - 3 Years
IT Manager,Hilton Hotels & Resorts,Philippines,5 - 8 Years
Executive- IT,Malabar Gold and Diamonds,Calicut/ Kozhikode,3 - 4 Years
IT Support,eye mantra,"Delhi,  Delhi/NCR",0 - 3 Years
IT Administrator,SyMetric,Bengaluru / Bangalore,2 - 3 Years
Casino - IT,Marriott International Inc,Cairo,1 - 4 Years
IT Manager,Power plus cables Co,Fujairah,7 - 10 Years
IT Analyst,Textron India Pvt Ltd,Bengaluru / Bangalore,3 - 5 Years
IT Recruiter,Amicus Technology,"Pune,  Raipur",2 - 5 Years
IT EXECUTIVE,Divya Placement Consultant,Faridabad,1 - 2 Years
IT EXECUTIVE,infoicon technologies pvt ltd.,Gurgaon,0 - 1 Years
IT Specialist,HUSYS CONSULTING LTD,Bengaluru / Bangalore,5 - 8 Years
IT Onsite,DXC Technologies,China,2 - 5 Years
IT support,SEVEN CONSULTANCY,"Delhi,  Delhi/NCR",0 - 1 Years
IT Executive,SEVEN CONSULTANCY,"Navi Mumbai,  Mumbai,  Thane",1 - 3 Years
IT Manager,SEVEN CONSULTANCY,Mumbai,0 - 3 Years
IT Support,SEVEN CONSULTANCY,"Delhi,  Delhi/NCR",1 - 4 Years
IT manager,SEVEN CONSULTANCY,Dehradun,0 - 3 Years
IT manager,SEVEN CONSULTANCY,Siliguri,0 - 3 Years
IT Support,SEVEN CONSULTANCY,"Bilaspur,  Bilaspur",1 - 2 Years
IT Executive,SEVEN CONSULTANCY,"Delhi,  Delhi/NCR",2 - 5 Years
IT Administrator,CONNECTING 2 WORK,Bengaluru / Bangalore,2 - 5 Years
IT Automation,Stockholdings,"Navi Mumbai,  Mumbai",10 - 13 Years
IT Helpdesk,INSIGHT BUSINESS MACHINES PVT LTD,Mumbai,1 - 3 Years
IT Admin,Dxcorr Design,Bengaluru / Bangalore,3 - 6 Years
IT Head,2Soft Solutions Pvt. Ltd.,Mumbai,8 - 11 Years
Executive IT,Elite Wealth Advisors Limited,Delhi,0 - 3 Years
IT Networking,Z Square Mall,Kanpur,1 - 4 Years
IT Head,TransGraph Consulting Pvt.Ltd.,Hyderabad/Secunderabad,12 - 15 Years
IT Executive,megri soft limited,Chandigarh,1 - 4 Years
IT Assistant,city montessori school lucknow,Lucknow,0 - 3 Years
IT Executive,ace softex pvt. ltd.,Rajkot,2 - 4 Years
IT PROFESSIONAL,CONNECTING 2 WORK,Thiruvananthapuram,2 - 5 Years
IT Professional,CONNECTING 2 WORK,,0 - 3 Years
IT Specialist,lear corporation  ( onward technology pay role ),,1 - 5 Years
Managementkonsult IT,CGI Information Systems and Management Consultants Pvt Ltd,Sweden,5 - 7 Years
Director IT,highrise solutions llp,Pune,1 - 2 Years
IT Engineer,BHTC India Pvt Ltd,Pune,0 - 3 Years
IT Executive,you broadband & cable india pvt. ltd.,Surat,1 - 4 Years
IT Recruiter,NCPL,Noida/Greater Noida,0 - 2 Years
IT Recruiter,amicus technologies pvt ltd,"Pune,  Raipur",2 - 5 Years
IT Faculty,TandA HR Solutions,"Chamba,  Una",2 - 3 Years
IT Teacher,TandA HR Solutions,"Mumbai,  Chamba,  Mohali,  Una",2 - 3 Years
IT Teacher,TandA HR Solutions,"Chamba,  Mohali,  Una",2 - 3 Years
IT Administrator,SEVEN CONSULTANCY,"Navi Mumbai,  Mumbai",2 - 4 Years
IT Admin,SEVEN CONSULTANCY,Ahmedabad,2 - 3 Years
IT Admin,SEVEN CONSULTANCY,"Navi Mumbai,  Mumbai",0 - 3 Years
IT executive,SEVEN CONSULTANCY,Mumbai,1 - 2 Years
Lead - IT,Bajaj Finserv Lending Ltd,Pune,6 - 8 Years
: IT Director,highrise solutions llp,Pune,1 - 4 Years
IT Engineer,Larsen & Toubro Infotech Ltd,Vadodara,5 - 7 Years
IT Student,danfoss india innovation center,Mexico,0 - 1 Years
IT Coordinator,Hilton Hotels & Resorts,Italy,1 - 3 Years
IT Supervisor,Hilton Hotels & Resorts,,5 - 7 Years
Lead - IT,Bajaj Finserv Lending Ltd,Pune,5 - 7 Years
Lead - IT,Bajaj Finserv Lending Ltd,Pune,6 - 8 Years
Lead - IT,Bajaj Finserv Lending Ltd,Pune,6 - 9 Years
IT Specialist,IBM India Pvt Ltd,Bengaluru / Bangalore,2 - 5 Years
Head of IT,Incuspaze,Gurgaon,3 - 6 Years
Mainframe Analyst,HR Jobs Placements,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad",9 - 14 Years
IT Recruiter /  NON IT Recruiter,2Soft Solutions Pvt. Ltd.,"Mumbai,  Pune",0 - 6 Years
IT Executive  /  Sr. IT Executive,ACTIVE INDIA EMPLOYMENT SERVICES PRIVATE LIMITED,Gandhidham,3 - 6 Years
"IT Logistics Manager ,  IT Services",AMAZON INDIA PVT LTD,"Chennai,  Mumbai,  Bengaluru / Bangalore,  Pune,  Hyderabad/Secunderabad",5 - 7 Years
Lead - IT / Senior Lead - IT,Bajaj Finserv Lending Ltd,Pune,5 - 8 Years
Lead - IT / Senior Lead - IT,Bajaj Finserv Lending Ltd,Pune,5 - 10 Years
Test Manager,HR Jobs Placements,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Kolkata,  Mumbai",8 - 13 Years
Senior Data Scientist - Machine Learning,HR Jobs Placements,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon",5 - 10 Years
Configuration / Release Manager,HR Jobs Placements,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon",11 - 16 Years
Telecom Software Engineer,HR Jobs Placements,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad",2 - 7 Years
Software Developer,Laxmi Infotech,"Mumbai,  Pune",1 - 6 Years
"Web Designing , Web Designer , Graphics Designer",AppSoft Solutions,"Bengaluru / Bangalore,  Chennai,  Delhi,  Mumbai,  Pune",0 - 3 Years
IT Head,HR Jobs Placements,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon",12 - 17 Years
Java Project Manager,HR Jobs Placements,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon",10 - 15 Years
Telecom Software Engineer,HR Jobs Placements,"Kolkata,  Mumbai,  Pune,  Mysoru / Mysore,  Coimbatore",2 - 7 Years
"Be B Tech Fresher , Associate Engineer",Laxmi Infotech,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",0 - 3 Years
Fullstack Developer,New Global Technologies,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",1 - 6 Years
Java Project Manager,HR Jobs Placements,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",10 - 15 Years
FINANCE MANAGER FOR AUSTRALIA  &  CANADA,LIMA FLY PRIVATE LIMITED,"Australia,  Canada",9 - 13 Years
"Senior Application Programmer , application programming",HR Jobs Placements,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",5 - 10 Years
Asset Management Executive,Team Computers Pvt Ltd,"Mumbai,  Delhi,  Chennai,  Delhi/NCR",2 - 5 Years
IT Head,HR Jobs Placements,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",12 - 17 Years
"""Java Full stack developer""",HR Jobs Placements,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai",3 - 8 Years
"IT Recruiter /  NON IT Recruiter ,  Mumbai",2Soft Solutions Pvt. Ltd.,"Mumbai,  Pune",0 - 6 Years
"ITS Support Associate II ,  IT Services",AMAZON INDIA PVT LTD,Panchkula,1 - 3 Years
